Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
100005;100;9;Museo dell'Opera del Duomo;2014;2014-09-25T21:58:10Z;763104910;11,0978408;43,8820698
44032;44;11;Musei Sistini;2011;2011-06-28T16:47:20Z;1342443844;13,6084325;42,988828
51033;51;9;Casa Masaccio;2011;2011-05-10T20:21:16Z;1279640468;11,5310642;43,5641141
58091;58;12;Museo Pietro Canonica;2013;2013-10-05T20:57:02Z;1303845491;12,4864794;41,9151103
58091;58;12;Museo Nazionale Etrusco di Villa Giulia;2015;2015-10-31T08:55:20Z;1342257217;12,478547;41,9179842
58043;58;12;Palazzo Sforza Cesarini;2016;2016-01-29T22:21:02Z;1003093722;12,6925522;41,7074941
58097;58;12;Antiquarium Pyrgense;2015;2015-05-17T12:57:12Z;1217520276;11,9594155;42,0168335
58097;58;12;Museo del Mare e della Navigazione Antica;2011;2011-03-25T19:18:36Z;1217844876;11,9583888;42,0165606
58097;58;12;Riserva Naturale Regionale Macchiatonda centro v;2012;2012-12-11T00:04:56Z;1217844940;11,9587198;42,0161145
58097;58;12;Museo del Territorio;2012;2012-12-11T00:13:16Z;1217845276;11,9588757;42,0162878
58097;58;12;Museo Civico;2011;2011-03-25T19:10:18Z;1217882286;11,9582564;42,0164976
59030;59;12;Museo grotta di Tiberio;2010;2010-11-12T14:59:22Z;945489915;13,4469946;41,2541862
42017;42;11;Museo della Farmacia Mazzolini-Giuseppucci;2011;2011-05-23T00:22:10Z;1296858163;12,9038302;43,3362889
42002;42;11;"Pinacoteca civica """"Francesco Podesti""""";2013;2013-03-02T17:31:43Z;1331732298;13,511058;43,6208824
42002;42;11;Museo della Città di Ancona;2013;2013-03-02T17:31:42Z;1331732396;13,5118933;43,6193418
48030;48;9;Museo d'Arte sacra di Montespertoli;2015;2015-04-06T20:32:01Z;1094711376;11,0731888;43,6307107
48017;48;9;Museo Stibbert;2014;2014-09-25T20:59:10Z;938223111;11,2551385;43,792721
48017;48;9;Museo Bardini;2014;2014-10-20T18:43:44Z;949722969;11,2583954;43,7649708
48017;48;9;Galleria Palatina;2011;2011-02-04T15:56:51Z;1135808773;11,2502961;43,764733
48021;48;9;Museo d'Arte sacra;2011;2011-01-07T11:17:10Z;1088111695;11,3154226;43,5832298
48021;48;9;Museo del Vino;2011;2011-04-06T16:16:54Z;1217168415;11,3166049;43,5835508
54003;54;10;Pinacoteca e Museo archeologico;2011;2011-06-03T17:32:09Z;1310792593;12,4845591;43,0130697
49014;49;9;Museo Civico Archeologico di Portoferraio;2011;2011-02-04T17:44:35Z;1135966554;10,3313747;42,8128433
52019;52;9;antiquarium poggio civitate;2012;2012-09-14T09:11:19Z;1105360584;11,3879998;43,1608304
52005;52;9;Museo archeologico del Chianti;2015;2015-06-10T21:08:09Z;1117201793;11,2870897;43,4690069
55032;55;10;Caos Museum;2010;2010-10-18T00:28:48Z;955404719;12,6523003;42,5593749
54039;54;10;Museo delle acque;2011;2011-01-31T19:33:39Z;1129737672;12,3705985;43,1493319
56012;56;12;Museo Archeologico Nazionale di Vulci;2011;2011-02-02T20:32:33Z;1079379628;11,6321907;42,4296937
54044;54;10;Museo delle scatole e dei ricordi;2011;2011-05-28T17:53:48Z;1303386781;12,2174917;43,5221192
55023;55;10;Museo dell'Opera del Duomo;2014;2014-01-05T14:01:24Z;1316223491;12,1137621;42,7164381
51034;51;9;Pinacoteca Comunale;2012;2012-03-20T09:46:51Z;1487283633;12,1414822;43,5714393
51017;51;9;MAEC;2014;2014-09-30T22:00:25Z;1601704906;11,9848265;43,2754292
56020;56;12;Museo del Brigantaggio;2011;2011-08-03T22:43:30Z;1385339535;11,7755321;42,511459
56050;56;12;Museo della Ceramica d'uso a Corneto;2012;2012-01-23T17:39:23Z;1602462148;11,7567196;42,254575
58114;58;12;Museo del Giocattolo;2013;2013-10-05T11:13:14Z;1637984178;12,8313823;41,8382952
58091;58;12;Sacrario delle Bandiere delle Forze Armate;2013;2013-06-20T13:29:39Z;1387899682;12,4836346;41,8949454
58091;58;12;Museo Nazionale Romano - Crypta Balbi;2015;2015-12-03T10:37:23Z;1391667014;12,4784435;41,8948301
58091;58;12;Galleria Borghese;2013;2013-10-05T20:57:02Z;1440405490;12,492061;41,9141203
58091;58;12;Museo Ebraico di Roma;2013;2013-11-06T20:54:46Z;1496814709;12,4779811;41,8919611
58091;58;12;Museo Storico dell'Arma dei Carabinieri;2011;2011-12-27T21:04:30Z;1564358008;12,4591272;41,9062816
58091;58;12;Galleria Colonna;2015;2015-05-31T12:37:23Z;1649776329;12,4848801;41,8974748
58091;58;12; ;2012;2012-03-07T14:39:20Z;1662303156;12,4865874;41,8987436
59032;59;12; ;2013;2013-10-06T20:39:55Z;1574091866;13,2486666;41,2916098
58003;58;12;Museo II Legione Partica;2014;2014-02-09T06:55:27Z;1604801957;12,6578811;41,7279749
42036;42;11; ;2012;2012-01-28T16:59:27Z;1608998577;13,0583611;43,6038879
41044;41;11;Museo della marineria Washington Patrignani;2011;2011-11-26T21:36:14Z;1518616995;12,9089578;43,916193
48017;48;9; ;2011;2011-12-08T12:09:13Z;1536508344;11,2567197;43,7690799
48017;48;9; ;2011;2011-12-08T12:09:14Z;1536508367;11,2545739;43,7707107
48017;48;9;Gucci Museum;2011;2011-12-08T12:09:16Z;1536508482;11,2567733;43,7697152
47009;47;9;Museo di arte Contemporanea e del Novecento;2015;2015-07-22T21:48:50Z;1569045253;10,8158832;43,8746015
47009;47;9;Museo della Città e del Territorio;2015;2015-04-27T18:40:31Z;1569045257;10,8142784;43,870716
46022;46;9;Museo del Castagno di Colognora;2012;2012-02-11T00:20:29Z;1627683994;10,4620279;43,9822923
54011;54;10;Chiesa-museo San Francesco;2014;2014-04-08T11:09:49Z;1653741718;12,1163177;43,4983604
54013;54;10;Collezione Burri;2011;2011-10-31T14:39:22Z;1487348236;12,2466239;43,4528813
54013;54;10;Collezione Burri;2014;2014-04-12T08:38:48Z;1491248820;12,2410052;43,4586657
54013;54;10;Pinacoteca Comunale;2014;2014-01-02T18:21:51Z;1614189676;12,2385051;43,4543124
54056;54;10;La rocca;2012;2012-03-07T16:49:05Z;1664579979;12,3279338;43,3067842
56001;56;12;Museo del Fiore;2011;2011-07-12T20:14:22Z;1359829160;11,9244167;42,7398588
54039;54;10;Fuseum;2014;2014-01-04T14:26:22Z;1411111321;12,3466047;43,1348235
54040;54;10;"Museo Paleontologico """"Luigi Boldrini""""";2014;2014-08-13T00:52:14Z;1576498769;12,2085609;42,9916652
54040;54;10;Museo del Vetro;2012;2012-01-09T14:54:00Z;1583772617;12,0866574;42,9706994
54044;54;10;Museo del tabacco;2011;2011-08-03T15:42:07Z;1384754445;12,1749533;43,5497512
45003;45;9;Museo civivo del Marmo;2014;2014-01-18T20:39:45Z;1749538363;10,0740734;44,0651438
51007;51;9;Museo Michelangiolesco;2014;2014-10-05T20:17:05Z;1762867354;11,9857211;43,6444278
51034;51;9;Aboca Museum;2012;2012-03-25T21:56:19Z;1691207863;12,1430085;43,5708443
51034;51;9;Museo Civico;2012;2012-03-25T21:56:20Z;1691207905;12,1413179;43,5715613
50039;50;9;Ecomuseo dell'alabastro;2012;2012-05-08T20:07:33Z;1745990673;10,8593313;43,4029568
51001;51;9;Museo di Palazzo Taglieschi;2014;2014-08-06T11:01:43Z;1829783893;12,0562231;43,5408282
41015;41;11;"Museo Civico Archeologico """"Augusto Vernarecci""""";2016;2016-02-14T09:53:54Z;1754317783;12,8068064;43,6902375
41015;41;11;"Pinacoteca Civica """"Augusto Vernarecci""""";2014;2014-02-07T18:28:45Z;1754337209;12,8074529;43,6903641
56032;56;12;Museo della Terra;2012;2012-06-11T20:48:45Z;1783930531;11,8290736;42,6250014
56021;56;12;Museo Archeologico dell’Agro Falisco;2014;2014-10-06T19:59:18Z;1759676347;12,4085455;42,2879727
56049;56;12;Museo del patrimonium;2012;2012-04-25T18:40:57Z;1730984319;12,2245156;42,2410495
58091;58;12;Chiostro del Bramante;2013;2013-07-11T11:04:02Z;1674754682;12,4715564;41,9001651
58091;58;12;Museo della Mente;2013;2013-03-26T10:42:34Z;1716909150;12,4168317;41,940474
58091;58;12;Explora;2012;2012-06-29T11:28:20Z;1806035237;12,4747295;41,9151314
59018;59;12; ;2012;2012-06-22T09:34:43Z;1798000482;12,9667282;40,8942976
59008;59;12;Museo Archeologico Nazionale di Formia;2012;2012-04-15T10:23:36Z;1717644056;13,6057459;41,2556005
58056;58;12;Mulino Vecchio;2012;2012-07-23T09:52:37Z;1835144604;12,8069395;42,0220297
60011;60;12;Spazio Museo Arte Sacra;2012;2012-06-28T17:52:41Z;1805283538;13,8008313;41,6196594
60012;60;12;Museo della Pietra;2012;2012-07-21T12:23:13Z;1833069707;13,7490314;41,3552511
60019;60;12;Museo dell'Abbazia;2012;2012-06-29T17:32:25Z;1806324791;13,8142722;41,4914506
60006;60;12;Museo Bonifacio VIII;2012;2012-05-17T20:03:02Z;1756545339;13,1606353;41,7426234
60085;60;12;Mostra permanente della Cività Ciociara;2012;2012-07-09T16:00:20Z;1819062846;13,4187151;41,6881425
60003;60;12;Civita Di Alatri;2013;2013-10-05T10:47:03Z;1678141743;13,3443864;41,7247275
60003;60;12;Museo Civico;2012;2012-05-22T16:53:05Z;1762311846;13,3437053;41,7260782
48035;48;9; ;2012;2012-08-16T19:25:26Z;1770622738;11,5576713;43,7317749
48014;48;9;Pinacoteca museo della collegiata di Sant'Andrea;2015;2015-04-06T20:32:02Z;1698427980;10,9465374;43,7193423
48017;48;9;Museo archeologico nazionale;2014;2014-11-30T20:36:35Z;1701709642;11,2614071;43,7765416
48017;48;9;Museo del Bigallo;2012;2012-04-04T21:28:44Z;1701709655;11,2552433;43,7727669
48017;48;9;Spedale degli Innocenti;2014;2014-03-14T20:29:06Z;1701709658;11,2609162;43,776162
48041;48;9;Museo Geopaleontologico di Scandicci;2012;2012-04-17T19:36:12Z;1721005804;11,1353645;43,7681726
49009;49;9;Casa natale di Amedeo Modigliani;2015;2015-06-15T09:27:13Z;1725130162;10,3134306;43,5438012
44017;44;11;Museo Archeologico;2012;2012-04-15T22:58:48Z;1717069527;13,8570939;43,02182
50025;50;9;Pinacoteca;2012;2012-10-14T12:17:39Z;1724400758;10,7207573;43,5475294
50032;50;9;Accademia degli Euteleti;2012;2012-06-03T21:38:19Z;1775450932;10,8602478;43,6804947
50032;50;9;Museo diocesano d'arte sacra;2012;2012-06-03T21:53:29Z;1775470253;10,8515558;43,6797402
50024;50;9;Museo della civiltà contadina;2015;2015-05-06T20:36:19Z;1773373661;10,7551966;43,5772928
54039;54;10;Museo Mura Urbiche;2012;2012-03-11T22:24:58Z;1671178967;12,3848012;43,119623
54039;54;10;Casa Museo Palazzo Sorbello;2012;2012-05-08T07:29:39Z;1745161175;12,3904251;43,1126775
55023;55;10;Necropoli Etrusca del Crocifisso del Tufo;2012;2012-06-24T07:56:15Z;1800250074;12,1050836;42,7210736
